t,S,E,I,R,V
94,0.001510621001749371,156.7210504899216,404.6551846303454,144.26557067141286,2289.9250753966203
95,0.0014832974583638859,151.64712662203664,398.1178588065787,144.02575019365716,2303.7014135443624
96,0.0014544179221803203,146.74183656905873,391.6449757698432,143.75417184858415,2317.115245007414
97,0.00142797059155701,141.99957186278147,385.2378221276766,143.45173368983015,2330.1708119709483
98,0.0014004666727022409,137.41491777773314,378.8975648167802,143.11932526933393,2342.8724062426963
99,0.0013774571913199255,132.98263062100526,372.6252568084276,142.75782713844598,2355.2243632852974
100,0.0013485302690285585,128.6976567544802,366.4218425785207,142.36811038828978,2367.231056543968
101,0.0013234534937653435,124.55509066055643,360.2881633681838,141.95103622747305,2378.8968920575176
102,0.0013024959030346383,120.55019903161701,354.22496222167075,141.50745559532822,2390.2263033411523
103,0.0012807836294814268,116.67841100591932,348.23288882633193,141.03820880893397,2401.2237465299554
104,0.0012547788144962675,112.93530645969923,342.31250415664573,140.54412524224261,2411.893695772355
105,0.0012348763643152438,109.31659835437021,336.46428493019937,140.02602303570754,2422.2406388632685
106,0.0012102497801078594,105.81816300986449,330.6886278746192,139.48470883487312,2432.269073107044
107,0.0011941462955020368,102.43599007884505,324.9858538317037,138.92097755645054,2441.9835014006258
108,0.0011736152675445918,99.16622825897267,319.3562116787904,138.33561218046904,2451.3884285277973
109,0.00115034239968458,96.00514003760298,313.79988210150833,137.7293835671476,2460.4883576556535
110,0.0011349756263125486,92.94910309856229,308.3169812034886,137.10305029719137,2469.2877870248235
111,0.001114611687727014,89.9946387136351,302.90756396237373,136.4573585342731,2477.79120682525
112,0.0010990500040512078,87.13836149295425,297.5716275522777,135.79304190850917,2486.0030962496744
113,0.0010755965573507778,84.37702073057966,292.30911451460656,135.11082141979495,2493.9279207172785
114,0.0010623372229586862,81.70744339551126,287.1199158084167,134.41140535990928,2501.570129260172
115,0.0010421516575910975,79.12659652187564,282.0038737162747,133.69548925234818,2508.934152065757
116,0.0010246893780598001,76.63152173992023,276.96078464313524,132.96375580888994,2516.0243981682447
117,0.001014041069423125,74.21936423994401,271.9904017838005,132.2168749019399,2522.8452532828205
118,0.0009938694275728928,71.88738438615698,267.09243767836176,131.45550355174248,2529.401077776281
119,0.000977278988272956,69.63290469192981,262.26656666537684,130.68028592758938,2535.6962047681163
120,0.0009651834063459146,67.45334841353144,257.5124272178431,129.89185336219333,2541.734938356329
121,0.0009498443437674023,65.34623306774898,252.8296241830092,129.09082437842864,2547.521551962439
122,0.0009366867222588656,63.309145768919265,248.21773092630428,128.27780472768043,2553.0602867903503
123,0.0009215791455964054,61.33976320056528,243.67629137591132,127.45338743907546,2558.3553503940116
124,0.0009074223189757665,59.43583236588005,239.2048219814219,126.61815287890212,2563.4109153489258
125,0.0008958985332266549,57.595176268391064,234.80281358263926,125.7726688195572,2568.231118022823
126,0.0008813291135068572,55.81569756979115,230.46973319509533,124.91749051738833,2572.820057440946
127,0.0008673653730684099,54.09535949440054,226.20502571769097,124.05316079882888,2577.1817942416105
128,0.0008546680103138021,52.432195828213956,222.0081155599684,123.18021015425182,2581.320349717851
129,0.000843961872083694,50.82430561809216,217.87840819689944,122.2991568389929,2585.2397049411566
130,0.0008298301171124886,49.269857207153365,213.81529165145434,121.41050698102302,2588.9437999634074
131,0.0008193112748738935,47.76706753690159,209.8181379112431,120.51475469477002,2592.436533093354
132,0.0008069833951466874,46.3142250364523,205.88630427498046,119.61238220061752,2595.721760244053
133,0.0007955824395700886,44.90966704033683,202.01913464043008,118.70385994962867,2598.8032943478534
134,0.0007840240537014006,43.55178987140726,198.2159607284341,117.7896467530652,2601.684904835675
135,0.0007753069955017863,42.23903910314516,194.47610325069815,116.87018991629371,2604.3703171774127
136,0.0007625164882229788,40.96992178508001,190.7988730195924,115.94592537668977,2606.8632124804776
137,0.0007546749169609896,39.74297887601387,187.18357200806662,115.01727784517043,2609.1672271435577
138,0.0007418825965410137,38.55681844981423,183.6294943523901,114.08466095100466,2611.285952562836
139,0.0007340676908590447,37.410075340286575,180.1359273123109,113.14847738956716,2613.2229348879987
140,0.0007287995618843923,36.30144178237786,176.7021521772743,112.20911907271991,2614.9816748254902
141,0.0007147999764286776,35.22966240365076,173.32744513049033,111.26696728152052,2616.5656274865396
142,0.0007067746300345033,34.19349794252714,170.01107807203582,110.322392820972,2617.9782022776617
